"reporting_year","station_eu_code","date","C6H6"
2020,"IT1487A",2020-04-15,0.2957
2020,"IT1487A",2020-04-16,0.3435
2020,"IT1487A",2020-04-17,0.3857
2020,"IT1487A",2020-04-20,0.5182
2020,"IT1487A",2020-04-21,0.4783
2020,"IT1487A",2020-04-22,0.4435
2020,"IT1487A",2020-04-23,0.4087
2020,"IT1487A",2020-04-24,0.5043
2020,"IT1487A",2020-04-25,0.4
2020,"IT1487A",2020-04-26,0.3391
2020,"IT1487A",2020-04-27,0.3261
2020,"IT1487A",2020-04-28,0.4478
2020,"IT1487A",2020-04-29,0.3261
2020,"IT1487A",2020-04-30,0.387
2020,"IT1487A",2020-05-01,0.2739
2020,"IT1487A",2020-05-02,0.3565
2020,"IT1487A",2020-05-03,0.2696
2020,"IT1487A",2020-05-04,0.2739
2020,"IT1487A",2020-05-05,0.487
2020,"IT1487A",2020-05-06,0.6
2020,"IT1487A",2020-05-07,0.2957
2020,"IT1487A",2020-05-08,0.3609
2020,"IT1487A",2020-05-09,0.6565
2020,"IT1487A",2020-05-10,0.5957
2020,"IT1487A",2020-05-11,0.6478
2020,"IT1487A",2020-05-12,0.4783
2020,"IT1487A",2020-05-13,0.6696
2020,"IT1487A",2020-05-14,0.8304
2020,"IT1487A",2020-05-15,0.915
2020,"IT1487A",2020-05-16,0.6348
2020,"IT1487A",2020-05-17,0.413
2020,"IT1487A",2020-05-18,0.4522
2020,"IT1487A",2020-05-19,0.4913
2020,"IT1487A",2020-05-20,0.7217
2020,"IT1487A",2020-05-21,0.3087
2020,"IT1487A",2020-05-22,0.4565
2020,"IT1487A",2020-05-23,0.6652
2020,"IT1487A",2020-05-24,0.4435
2020,"IT1487A",2020-05-25,0.2
2020,"IT1487A",2020-05-26,0.3043
2020,"IT1487A",2020-05-27,0.1739
2020,"IT1487A",2020-05-28,0.4
2020,"IT1487A",2020-05-29,0.4087
2020,"IT1487A",2020-05-30,0.5913
2020,"IT1487A",2020-05-31,0.313
2020,"IT1487A",2020-06-01,0.5391
2020,"IT1487A",2020-06-02,0.5783
2020,"IT1487A",2020-06-03,0.5043
2020,"IT1487A",2020-06-04,0.7
2020,"IT1487A",2020-06-05,0.5913
2020,"IT1487A",2020-06-06,0.7304
2020,"IT1487A",2020-06-07,0.4435
2020,"IT1487A",2020-06-08,0.5174
2020,"IT1487A",2020-06-09,0.5522
2020,"IT1487A",2020-06-10,0.3957
2020,"IT1487A",2020-06-11,0.3478
2020,"IT1487A",2020-06-12,0.587
2020,"IT1487A",2020-06-13,0.613
2020,"IT1487A",2020-06-14,0.3652
2020,"IT1487A",2020-06-15,0.3913
2020,"IT1487A",2020-06-16,0.7143
2020,"IT1487A",2020-06-17,0.7174
