"reporting_year","station_eu_code","date","PM2.5"
2020,"IT1996A",2020-03-03,4.2328
2020,"IT1996A",2020-03-04,2.4827
2020,"IT1996A",2020-03-05,2.1368
2020,"IT1996A",2020-03-06,2.9711
2020,"IT1996A",2020-03-07,1.7705
2020,"IT1996A",2020-03-08,4.3956
2020,"IT1996A",2020-03-09,2.6862
2020,"IT1996A",2020-03-10,4.5991
2020,"IT1996A",2020-03-11,1.6077
2020,"IT1996A",2020-03-12,4.2939
2020,"IT1996A",2020-03-13,3.9479
2020,"IT1996A",2020-03-14,5.1486
2020,"IT1996A",2020-03-15,4.8637
2020,"IT1996A",2020-03-16,5.2503
2020,"IT1996A",2020-03-17,8.6081
2020,"IT1996A",2020-03-18,5.2707
2020,"IT1996A",2020-03-19,7.4278
2020,"IT1996A",2020-03-20,7.5295
2020,"IT1996A",2020-03-21,4.4974
2020,"IT1996A",2020-03-22,13.7566
2020,"IT1996A",2020-03-23,9.9919
2020,"IT1996A",2020-03-24,7.2243
2020,"IT1996A",2020-03-25,6.0847
2020,"IT1996A",2020-03-26,8.2621
2020,"IT1996A",2020-03-27,5.7794
2020,"IT1996A",2020-03-28,5.1689
2020,"IT1996A",2020-03-29,4.9858
2020,"IT1996A",2020-03-30,9.3
2020,"IT1996A",2020-03-31,12.3118
2020,"IT1996A",2020-04-01,4.2532
2020,"IT1996A",2020-04-02,2.6048
2020,"IT1996A",2020-04-03,7.7127
2020,"IT1996A",2020-04-04,6.3696
2020,"IT1996A",2020-04-05,11.5588
2020,"IT1996A",2020-04-06,14.8352
2020,"IT1996A",2020-04-07,7.4685
2020,"IT1996A",2020-04-08,14.0008
2020,"IT1996A",2020-04-09,18.315
2020,"IT1996A",2020-04-10,14.8759
2020,"IT1996A",2020-04-11,10.928
2020,"IT1996A",2020-04-12,12.2507
2020,"IT1996A",2020-04-13,9.3407
2020,"IT1996A",2020-04-14,9.361
2020,"IT1996A",2020-04-15,6.0643
2020,"IT1996A",2020-04-16,6.7969
2020,"IT1996A",2020-04-17,9.3407
2020,"IT1996A",2020-04-18,10.928
2020,"IT1996A",2020-04-19,7.6313
2020,"IT1996A",2020-04-20,7.0004
2020,"IT1996A",2020-04-21,5.3114
2020,"IT1996A",2020-04-22,3.4188
2020,"IT1996A",2020-04-23,4.7619
2020,"IT1996A",2020-04-24,3.2153
2020,"IT1996A",2020-04-25,3.602
2020,"IT1996A",2020-04-26,3.2357
2020,"IT1996A",2020-04-27,5.291
2020,"IT1996A",2020-04-28,3.9276
2020,"IT1996A",2020-04-29,2.6252
2020,"IT1996A",2020-04-30,2.2385
2020,"IT1996A",2020-05-01,3.5613
2020,"IT1996A",2020-05-02,4.3753
2020,"IT1996A",2020-05-03,2.6048
2020,"IT1996A",2020-05-04,1.9129
2020,"IT1996A",2020-05-05,4.9858
2020,"IT1996A",2020-05-06,4.3753
2020,"IT1996A",2020-05-07,3.5002
2020,"IT1996A",2020-05-08,4.0971
2020,"IT1996A",2020-05-09,5.4335
2020,"IT1996A",2020-05-10,10.5413
2020,"IT1996A",2020-05-11,5.0061
2020,"IT1996A",2020-05-12,4.1107
2020,"IT1996A",2020-05-13,5.9015
2020,"IT1996A",2020-05-14,13.9194
2020,"IT1996A",2020-05-15,4.5177
2020,"IT1996A",2020-05-16,12.1693
2020,"IT1996A",2020-05-17,6.0847
2020,"IT1996A",2020-05-18,2.6659
2020,"IT1996A",2020-05-19,3.5613
2020,"IT1996A",2020-05-20,5.0672
2020,"IT1996A",2020-05-21,8.2011
2020,"IT1996A",2020-05-22,4.884
2020,"IT1996A",2020-05-23,4.5991
2020,"IT1996A",2020-05-24,5.1486
2020,"IT1996A",2020-05-25,3.7648
2020,"IT1996A",2020-05-26,4.1921
2020,"IT1996A",2020-05-27,3.4799
2020,"IT1996A",2020-05-28,2.4827
2020,"IT1996A",2020-05-29,1.8315
2020,"IT1996A",2020-05-30,3.9072
2020,"IT1996A",2020-05-31,2.6048
2020,"IT1996A",2020-06-01,3.7851
2020,"IT1996A",2020-06-02,6.451
2020,"IT1996A",2020-06-03,2.4827
2020,"IT1996A",2020-06-04,6.549
2020,"IT1996A",2020-06-09,2.2182
2020,"IT1996A",2020-06-10,1.6891
2020,"IT1996A",2020-06-11,4.8433
2020,"IT1996A",2020-06-12,5.291
2020,"IT1996A",2020-06-13,3.1746
2020,"IT1996A",2020-06-14,2.6252
2020,"IT1996A",2020-06-15,5.1893
2020,"IT1996A",2020-06-16,6.4917
2020,"IT1996A",2020-06-17,2.4623
2020,"IT1996A",2020-06-18,4.7416
2020,"IT1996A",2020-06-19,4.477
2020,"IT1996A",2020-06-20,5.637
2020,"IT1996A",2020-06-21,4.1107
2020,"IT1996A",2020-06-22,9.768
2020,"IT1996A",2020-06-23,5.0172
2020,"IT1996A",2020-06-24,4.7212
2020,"IT1996A",2020-06-25,4.2735
2020,"IT1996A",2020-06-26,2.2996
2020,"IT1996A",2020-06-27,3.256
2020,"IT1996A",2020-06-28,7.4278
2020,"IT1996A",2020-06-29,8.3232
2020,"IT1996A",2020-06-30,3.0322
2020,"IT1993A",2020-01-01,19.3529
2020,"IT1993A",2020-01-02,11.4164
2020,"IT1993A",2020-01-03,18.4575
2020,"IT1993A",2020-01-04,7.6313
2020,"IT1993A",2020-01-05,4.8026
2020,"IT1993A",2020-01-06,4.1107
2020,"IT1993A",2020-01-07,4.7619
2020,"IT1993A",2020-01-08,4.9728
2020,"IT1993A",2020-01-09,5.637
2020,"IT1993A",2020-01-10,4.8637
2020,"IT1993A",2020-01-11,5.3521
2020,"IT1993A",2020-01-12,7.1022
2020,"IT1993A",2020-01-13,4.1514
2020,"IT1993A",2020-01-14,4.8026
2020,"IT1993A",2020-01-15,5.1079
2020,"IT1993A",2020-01-16,2.4827
2020,"IT1993A",2020-01-17,8.893
2020,"IT1993A",2020-01-18,4.884
2020,"IT1993A",2020-01-19,4.1311
2020,"IT1993A",2020-01-20,2.1978
2020,"IT1993A",2020-01-21,3.6223
2020,"IT1993A",2020-01-22,4.6805
2020,"IT1993A",2020-01-23,4.477
2020,"IT1993A",2020-01-24,4.1921
2020,"IT1993A",2020-01-25,4.884
2020,"IT1993A",2020-01-26,4.5381
2020,"IT1993A",2020-01-27,3.5816
2020,"IT1993A",2020-01-28,5.0672
2020,"IT1993A",2020-01-29,4.3142
2020,"IT1993A",2020-01-30,4.0497
2020,"IT1993A",2020-01-31,4.07
2020,"IT1993A",2020-02-01,6.6341
2020,"IT1993A",2020-02-02,5.0672
2020,"IT1993A",2020-02-03,4.1311
2020,"IT1993A",2020-02-04,4.7952
2020,"IT1993A",2020-02-05,7.0818
2020,"IT1993A",2020-02-06,5.4131
2020,"IT1993A",2020-02-07,5.3502
2020,"IT1993A",2020-02-08,5.7184
2020,"IT1993A",2020-02-09,5.0875
2020,"IT1993A",2020-02-10,5.5056
2020,"IT1993A",2020-02-11,4.2125
2020,"IT1993A",2020-02-12,5.0061
2020,"IT1993A",2020-02-13,6.451
2020,"IT1993A",2020-02-14,3.0118
2020,"IT1993A",2020-02-15,4.884
2020,"IT1993A",2020-02-16,6.1254
2020,"IT1993A",2020-02-17,4.477
2020,"IT1993A",2020-02-18,4.8637
2020,"IT1993A",2020-02-19,4.5482
2020,"IT1993A",2020-02-20,3.0525
2020,"IT1993A",2020-02-21,2.5845
2020,"IT1993A",2020-02-22,3.7851
2020,"IT1993A",2020-02-23,6.7969
2020,"IT1993A",2020-02-24,2.381
2020,"IT1993A",2020-02-25,4.8026
2020,"IT1993A",2020-02-26,3.6427
2020,"IT1993A",2020-02-27,2.5397
2020,"IT1993A",2020-02-28,2.6862
2020,"IT1993A",2020-02-29,6.0033
2020,"IT1993A",2020-03-01,8.88
2020,"IT1993A",2020-03-02,3.9516
2020,"IT1993A",2020-03-03,2.096
2020,"IT1993A",2020-03-04,3.9072
2020,"IT1993A",2020-03-05,4.2532
2020,"IT1993A",2020-03-06,4.2735
2020,"IT1993A",2020-03-07,2.7676
2020,"IT1993A",2020-03-08,2.0757
2020,"IT1993A",2020-03-09,3.2967
2020,"IT1993A",2020-03-10,3.2357
2020,"IT1993A",2020-03-11,2.0147
2020,"IT1993A",2020-03-12,4.009
2020,"IT1993A",2020-03-13,3.663
2020,"IT1993A",2020-03-14,3.6223
2020,"IT1993A",2020-03-15,3.2357
2020,"IT1993A",2020-03-16,3.0932
2020,"IT1993A",2020-03-17,4.2735
2020,"IT1993A",2020-03-18,3.8665
2020,"IT1993A",2020-03-19,5.3724
2020,"IT1993A",2020-03-20,3.2153
2020,"IT1993A",2020-03-21,4.07
2020,"IT1993A",2020-03-22,5.1282
2020,"IT1993A",2020-03-23,3.7648
2020,"IT1993A",2020-03-24,3.0118
2020,"IT1993A",2020-03-25,2.3403
2020,"IT1993A",2020-03-26,2.7473
2020,"IT1993A",2020-03-27,3.7851
2020,"IT1993A",2020-03-28,3.7241
2020,"IT1993A",2020-03-29,7.0615
2020,"IT1993A",2020-03-30,3.5206
2020,"IT1993A",2020-03-31,6.1254
2020,"IT1993A",2020-04-01,4.1311
2020,"IT1993A",2020-04-02,3.0322
2020,"IT1993A",2020-04-03,5.7998
2020,"IT1993A",2020-04-04,5.5963
2020,"IT1993A",2020-04-05,4.5991
2020,"IT1993A",2020-04-06,3.5002
2020,"IT1993A",2020-04-07,5.6573
2020,"IT1993A",2020-04-08,5.3317
2020,"IT1993A",2020-04-09,5.1486
