"reporting_year","station_eu_code","date","C6H6"
2020,"IT2056A",2020-01-14,2.3391
2020,"IT2056A",2020-01-15,2.4362
2020,"IT2056A",2020-01-16,2.663
2020,"IT2056A",2020-01-17,1.9861
2020,"IT2056A",2020-01-18,0.9185
2020,"IT2056A",2020-01-19,1.0819
2020,"IT2056A",2020-01-20,0.6013
2020,"IT2056A",2020-01-21,0.6938
2020,"IT2056A",2020-01-22,0.9811
2020,"IT2056A",2020-01-23,0.8772
2020,"IT2056A",2020-01-24,1.0225
2020,"IT2056A",2020-01-25,2.1228
2020,"IT2056A",2020-01-26,2.1004
2020,"IT2056A",2020-01-27,1.7543
2020,"IT2056A",2020-01-28,1.2491
2020,"IT2056A",2020-01-29,1.3922
2020,"IT2056A",2020-01-30,0.9159
2020,"IT2056A",2020-01-31,1.1511
2020,"IT2056A",2020-02-01,0.9194
2020,"IT2056A",2020-02-02,0.4994
2020,"IT2056A",2020-02-03,0.4979
2020,"IT2056A",2020-02-04,0.3951
2020,"IT2056A",2020-02-05,0.7039
2020,"IT2056A",2020-02-06,1.3041
2020,"IT2056A",2020-02-07,1.3032
2020,"IT2056A",2020-02-08,1.4741
2020,"IT2056A",2020-02-09,1.2464
2020,"IT2056A",2020-02-10,1.025
2020,"IT2056A",2020-02-11,0.5835
2020,"IT2056A",2020-02-12,0.5501
2020,"IT2056A",2020-02-13,1.0351
2020,"IT2056A",2020-02-14,0.6093
2020,"IT2056A",2020-02-15,0.8621
2020,"IT2056A",2020-02-16,1.0571
2020,"IT2056A",2020-02-17,1.8912
2020,"IT2056A",2020-02-18,0.7495
2020,"IT2056A",2020-02-19,0.4258
2020,"IT2056A",2020-02-20,0.5503
2020,"IT2056A",2020-02-21,0.5451
2020,"IT2056A",2020-02-22,0.8439
2020,"IT2056A",2020-02-23,0.7321
2020,"IT2056A",2020-02-24,0.546
2020,"IT2056A",2020-02-25,0.6812
2020,"IT2056A",2020-02-26,0.4235
2020,"IT2056A",2020-02-27,0.5342
2020,"IT2056A",2020-02-28,0.4004
2020,"IT2056A",2020-02-29,0.8898
2020,"IT2056A",2020-03-01,1.1608
2020,"IT2056A",2020-03-02,0.6745
2020,"IT2056A",2020-03-03,0.4714
2020,"IT2056A",2020-03-04,0.5523
2020,"IT2056A",2020-03-05,0.7111
2020,"IT2056A",2020-03-06,0.4789
2020,"IT2056A",2020-03-07,0.3949
2020,"IT2056A",2020-03-08,0.4547
2020,"IT2056A",2020-03-09,0.5156
2020,"IT2056A",2020-03-10,0.3981
2020,"IT2056A",2020-03-11,0.3497
2020,"IT2056A",2020-03-12,0.377
2020,"IT2056A",2020-03-13,0.5656
2020,"IT2056A",2020-03-14,0.3328
2020,"IT2056A",2020-03-15,0.3155
2020,"IT2056A",2020-03-16,0.4932
2020,"IT2056A",2020-03-17,0.4287
2020,"IT2056A",2020-03-18,0.4926
2020,"IT2056A",2020-03-19,0.6218
2020,"IT2056A",2020-03-20,0.431
2020,"IT2056A",2020-03-21,0.3601
2020,"IT2056A",2020-03-22,0.4064
2020,"IT2056A",2020-03-23,0.471
2020,"IT2056A",2020-03-24,0.3567
2020,"IT2056A",2020-03-25,0.7436
2020,"IT2056A",2020-03-26,0.6642
2020,"IT2056A",2020-03-27,0.8932
2020,"IT2056A",2020-03-28,0.7382
2020,"IT2056A",2020-03-29,0.8947
2020,"IT2056A",2020-03-30,0.7124
2020,"IT2056A",2020-03-31,0.8163
2020,"IT2056A",2020-04-01,0.517
2020,"IT2056A",2020-04-02,0.4975
2020,"IT2056A",2020-04-03,0.6534
2020,"IT2056A",2020-04-04,0.599
2020,"IT2056A",2020-04-05,0.5495
2020,"IT2056A",2020-04-06,0.6237
2020,"IT2056A",2020-04-07,0.7407
2020,"IT2056A",2020-04-08,0.7925
2020,"IT2056A",2020-04-09,0.8646
2020,"IT2056A",2020-04-10,0.7882
2020,"IT2056A",2020-04-11,0.6805
2020,"IT2056A",2020-04-12,0.415
2020,"IT2056A",2020-04-13,0.2204
2020,"IT2056A",2020-04-14,0.3596
2020,"IT2056A",2020-04-15,0.2881
2020,"IT2056A",2020-04-16,0.3887
2020,"IT2056A",2020-04-17,0.3015
2020,"IT2056A",2020-04-18,0.2803
2020,"IT2056A",2020-04-19,0.527
2020,"IT2056A",2020-04-20,0.4019
2020,"IT2056A",2020-04-21,0.3168
2020,"IT2056A",2020-04-22,0.615
2020,"IT2056A",2020-04-23,0.4137
2020,"IT2056A",2020-04-24,0.392
2020,"IT2056A",2020-04-25,0.5277
2020,"IT2056A",2020-04-26,0.7696
2020,"IT2056A",2020-04-27,0.8178
2020,"IT2056A",2020-04-28,0.6993
2020,"IT2056A",2020-04-29,0.6379
2020,"IT2056A",2020-04-30,0.5258
2020,"IT2056A",2020-05-01,0.3392
2020,"IT2056A",2020-05-02,0.3083
2020,"IT2056A",2020-05-03,0.1735
2020,"IT2056A",2020-05-04,0.4465
2020,"IT2056A",2020-05-05,0.4957
2020,"IT2056A",2020-05-06,0.6634
2020,"IT2056A",2020-05-07,0.7946
2020,"IT2056A",2020-05-08,0.7264
2020,"IT2056A",2020-05-09,0.4237
2020,"IT2056A",2020-05-10,0.3563
2020,"IT2056A",2020-05-11,0.6331
2020,"IT2056A",2020-05-12,0.6956
2020,"IT2056A",2020-05-13,0.5777
2020,"IT2056A",2020-05-14,0.318
2020,"IT2056A",2020-05-15,0.4507
2020,"IT2056A",2020-05-16,0.9292
2020,"IT2056A",2020-05-17,0.1651
2020,"IT2056A",2020-05-18,0.3892
2020,"IT2056A",2020-05-19,0.3128
2020,"IT2056A",2020-05-20,0.2101
2020,"IT2056A",2020-05-21,0.2665
2020,"IT2056A",2020-05-22,0.2507
2020,"IT2056A",2020-05-23,0.5517
2020,"IT2056A",2020-05-24,0.1427
2020,"IT2056A",2020-05-25,0.2334
2020,"IT2056A",2020-05-26,0.2412
2020,"IT2056A",2020-05-27,0.3057
2020,"IT2056A",2020-05-28,0.2084
2020,"IT2056A",2020-05-29,0.2092
2020,"IT2056A",2020-05-30,0.1979
2020,"IT2056A",2020-05-31,0.1895
2020,"IT2056A",2020-06-01,0.1406
2020,"IT2056A",2020-06-02,0.3914
2020,"IT2056A",2020-06-03,0.1478
2020,"IT2056A",2020-06-04,0.1944
2020,"IT2056A",2020-06-05,0.0803
2020,"IT2056A",2020-06-06,0.1016
2020,"IT2056A",2020-06-07,0.2835
2020,"IT2056A",2020-06-08,0.2397
2020,"IT2056A",2020-06-09,0.2073
2020,"IT2056A",2020-06-10,0.4345
2020,"IT2056A",2020-06-11,0.7768
2020,"IT2056A",2020-06-12,0.647
2020,"IT2056A",2020-06-13,1.2833
2020,"IT2056A",2020-06-14,0.4269
2020,"IT2056A",2020-06-15,0.3607
2020,"IT2056A",2020-06-16,0.7279
2020,"IT2056A",2020-06-17,0.4743
2020,"IT2056A",2020-06-18,0.6423
2020,"IT2056A",2020-06-19,0.9792
2020,"IT2056A",2020-06-20,0.3564
2020,"IT2056A",2020-06-21,0.3923
2020,"IT2056A",2020-06-22,0.5958
2020,"IT2056A",2020-06-23,1.1417
2020,"IT2056A",2020-06-24,0.616
2020,"IT2056A",2020-06-25,0.8928
2020,"IT2056A",2020-06-26,0.6691
2020,"IT2056A",2020-06-27,0.4162
2020,"IT2056A",2020-06-28,0.4211
2020,"IT2056A",2020-06-29,0.5423
2020,"IT2056A",2020-06-30,0.5189
2020,"IT1996A",2020-01-01,2.5609
2020,"IT1996A",2020-01-02,1.8663
2020,"IT1996A",2020-01-03,1.7782
2020,"IT1996A",2020-01-04,1.3693
2020,"IT1996A",2020-01-05,2.0057
2020,"IT1996A",2020-01-06,2.7376
2020,"IT1996A",2020-01-07,1.2482
2020,"IT1996A",2020-01-08,1.6574
2020,"IT1996A",2020-01-09,1.6661
