"reporting_year","station_eu_code","date","PM2,5"
2020,"IT0862A",2020-01-22,28
2020,"IT0862A",2020-01-23,34
2020,"IT0862A",2020-01-24,32
2020,"IT0862A",2020-01-25,20
2020,"IT0862A",2020-01-26,26
2020,"IT0862A",2020-01-27,19
2020,"IT0862A",2020-01-28,7
2020,"IT0862A",2020-01-29,11
2020,"IT0862A",2020-01-30,18
2020,"IT0862A",2020-01-31,15
2020,"IT0862A",2020-02-01,10
2020,"IT0862A",2020-02-02,9
2020,"IT0862A",2020-02-03,12
2020,"IT0862A",2020-02-04,10
2020,"IT0862A",2020-02-05,5
2020,"IT0862A",2020-02-06,7
2020,"IT0862A",2020-02-07,20
2020,"IT0862A",2020-02-08,25
2020,"IT0862A",2020-02-09,37
2020,"IT0862A",2020-02-10,12
2020,"IT0862A",2020-02-11,12
2020,"IT0862A",2020-02-12,11
2020,"IT0862A",2020-02-13,11
2020,"IT0862A",2020-02-14,9
2020,"IT0862A",2020-02-15,15
2020,"IT0862A",2020-02-16,21
2020,"IT0862A",2020-02-17,18
2020,"IT0862A",2020-02-18,11
2020,"IT0862A",2020-02-22,25
2020,"IT0862A",2020-02-23,14
2020,"IT0862A",2020-02-24,14
2020,"IT0862A",2020-02-25,15
2020,"IT0862A",2020-02-26,8
2020,"IT0862A",2020-02-27,6
2020,"IT0862A",2020-02-28,10
2020,"IT0862A",2020-02-29,17
2020,"IT0862A",2020-03-01,7
2020,"IT0862A",2020-03-02,4
2020,"IT0862A",2020-03-03,5
2020,"IT0862A",2020-03-04,7
2020,"IT0862A",2020-03-05,10
2020,"IT0862A",2020-03-06,6
2020,"IT0862A",2020-03-07,6
2020,"IT0862A",2020-03-08,12
2020,"IT0862A",2020-03-09,13
2020,"IT0862A",2020-03-10,12
2020,"IT0862A",2020-03-11,15
2020,"IT0862A",2020-03-12,25
2020,"IT0862A",2020-03-13,13
2020,"IT0862A",2020-03-14,13
2020,"IT0862A",2020-03-15,6
2020,"IT0862A",2020-03-16,8
2020,"IT0862A",2020-03-17,16
