"reporting_year","station_eu_code","date","CO"
2020,"IT1243A",2020-02-10,0.2854
2020,"IT1243A",2020-02-11,0.2287
2020,"IT1243A",2020-02-12,0.2927
2020,"IT1243A",2020-02-13,0.3697
2020,"IT1243A",2020-02-14,0.2684
2020,"IT1243A",2020-02-15,0.3365
2020,"IT1243A",2020-02-16,0.33
2020,"IT1243A",2020-02-17,0.3877
2020,"IT1243A",2020-02-18,0.2113
2020,"IT1243A",2020-02-19,0.2525
2020,"IT1243A",2020-02-20,0.3803
2020,"IT1243A",2020-02-21,0.3768
2020,"IT1243A",2020-02-22,0.3687
2020,"IT1243A",2020-02-23,0.3279
2020,"IT1243A",2020-02-24,0.4068
2020,"IT1243A",2020-02-25,0.4151
2020,"IT1243A",2020-02-26,0.278
2020,"IT1243A",2020-02-27,0.3354
2020,"IT1243A",2020-02-28,0.3784
2020,"IT1243A",2020-02-29,0.4624
2020,"IT1243A",2020-03-01,0.2806
2020,"IT1243A",2020-03-02,0.2834
2020,"IT1243A",2020-03-03,0.2879
2020,"IT1243A",2020-03-04,0.3699
2020,"IT1243A",2020-03-05,0.4329
2020,"IT1243A",2020-03-06,0.2775
2020,"IT1243A",2020-03-07,0.3437
2020,"IT1243A",2020-03-08,0.4463
2020,"IT1243A",2020-03-09,0.3424
2020,"IT1243A",2020-03-10,0.3618
2020,"IT1243A",2020-03-11,0.3673
2020,"IT1243A",2020-03-12,0.3864
2020,"IT1243A",2020-03-13,0.4176
2020,"IT1243A",2020-03-14,0.3493
2020,"IT1243A",2020-03-15,0.3477
2020,"IT1243A",2020-03-16,0.4044
2020,"IT1243A",2020-03-17,0.3588
2020,"IT1243A",2020-03-18,0.2128
2020,"IT1243A",2020-03-19,0.2073
2020,"IT1243A",2020-03-20,0.1923
2020,"IT1243A",2020-03-21,0.1143
2020,"IT1243A",2020-03-22,0.176
2020,"IT1243A",2020-03-23,0.1046
2020,"IT1243A",2020-03-24,0.319
2020,"IT1243A",2020-03-25,0.2573
2020,"IT1243A",2020-03-26,0.2523
2020,"IT1243A",2020-03-27,0.2313
2020,"IT1243A",2020-03-28,0.2557
2020,"IT1243A",2020-03-29,0.2144
2020,"IT1243A",2020-03-30,0.2339
2020,"IT1243A",2020-03-31,0.2203
2020,"IT1243A",2020-04-01,0.2833
2020,"IT1243A",2020-04-02,0.2832
2020,"IT1243A",2020-04-03,0.195
2020,"IT1243A",2020-04-04,0.2591
2020,"IT1243A",2020-04-05,0.2343
2020,"IT1243A",2020-04-06,0.2663
2020,"IT1243A",2020-04-07,0.2378
2020,"IT1243A",2020-04-08,0.2699
2020,"IT1243A",2020-04-09,0.2161
2020,"IT1243A",2020-04-10,0.2519
2020,"IT1243A",2020-04-12,0.1995
2020,"IT1243A",2020-04-13,0.2226
2020,"IT1243A",2020-04-14,0.1878
2020,"IT1243A",2020-04-15,0.2452
2020,"IT1243A",2020-04-16,0.1981
2020,"IT1243A",2020-04-17,0.1729
2020,"IT1243A",2020-04-18,0.2517
